WARD: 000101006009 KAMPUMBA,,,,,,,,
"MALAMBO FREDWELL B - M ,UPND","1,111 51.99%",26.72%,,,,,,
"MAPANTI CAIPHAS  - M ,PF",587 27.47%,14.12%,,,,,,
"CHINDA JAMES  - M ,IND",358 16.75%,8.61%,,,,,,
,,,81,3.79%,,"2,137","4,158",51%
WARD: 000101006010 NCHEMBWE,,,,,,,,
,VOTES OBTAINED % AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,VOTES CAST,REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
"PULE DENNIS  - M ,PF","1,110 55.33%",25.24%,,,,,,
"MUSONDA STEPHEN  - M ,UPND",852 42.47%,19.38%,,,,,,
,,,44,2.19%,,"2,006","4,397",46%
WARD: 000101006011 CHIBWELELO,,,,,,,,
"MUBANGA BELLINGTON  - M ,PF","1,114 64.43%",29.22%,,,,,,
"BANDA MISHECK  - M ,UPND",567 32.79%,14.87%,,,,,,
,,,48,2.78%,,"1,729","3,812",45%
WARD: 000101006012 KABWALE,,,,,,,,
"MAGUMBO STEADWELL  - M ,UPND","1,743 68.22%",34.54%,,,,,,
"SILUMANDE FRANCIS  - M ,PF",747 29.24%,14.80%,,,,,,
,,,65,2.54%,,"2,555","5,046",51%
WARD: 000101006013 IMANSA,,,,,,,,
"MUUKA PATEL  - M ,UPND","1,265 64.48%",29.49%,,,,,,
"MUSHIMA BEASWELL  - M ,PF",583 29.71%,13.59%,,,,,,
"KALUBANGWE LINDA  - F ,IND",19 0.97%,0.44%,,,,,,
,,,95,4.84%,,"1,962","4,289",46%
WARD: 000101006014 LUKANGA,,,,,,,,
"MWIINGA PROSCARDNESS  - F ,UPND","1,191 66.87%",21.41%,,,,,,
"KABELO NICHOLAS  - M ,PF",501 28.13%,9.00%,,,,,,
,,,89,5.00%,,"1,781","5,564",32%
WARD: 000101006015 MPUNDE,,,,,,,,
"CHABAKALE BERNADETTE C - F ,UPND","1,787 63.59%",26.76%,,,,,,
"TEBULU MUMBA  - M ,PF",917 32.63%,13.73%,,,,,,
,,,106,3.77%,,"2,810","6,677",42%
WARD: 000101006016 MUNGA,,,,,,,,
"MWEEMBA ANDREW  - M ,UPND","1,836 73.79%",31.26%,,,,,,
"BBABBI GEORGE  - M ,PF",532 21.38%,9.06%,,,,,,
"NSHIMBA LAWRENCE  - M ,MMD",54 2.17%,0.92%,,,,,,
,,,66,2.65%,,"2,488","5,874",42%
,"01010009 ,MKUSHI SOUTH CONSTITUENCY",,,,,,,
WARD: 000101007001 MUSWISHI,,,,,,,,
"MBOROMA CHRISPINE  - M ,PF",407 70.78%,42.40%,,,,,,
"MUSONDA MEGARDO  - M ,UPND",156 27.13%,16.25%,,,,,,
,,,12,2.09%,,575,960,60%
WARD: 000101007002 CHING`OMBE,,,,,,,,
"CHISENGA MAYBIN  - M ,PF",754 84.62%,57.87%,,,,,,
"MANJIMELA JEAN  - F ,UPND",122 13.69%,9.36%,,,,,,
,,,15,1.68%,,891,"1,303",68%
WARD: 000101007003 NKOMASHI,,,,,,,,
"KAPEMBA GOLIATH  - M ,UPND",719 68.67%,46.18%,,,,,,
"CHIKUNI DERRICK  - M ,PF",306 29.23%,19.65%,,,,,,
,,,22,2.10%,,"1,047","1,557",67%
,VOTES OBTAINED % AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,VOTES CAST,REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
WARD: 000101007004 CHIPABA,,,,,,,,
"CHIBUYE CHRISANTOS  - M ,PF",288 68.57%,45.00%,,,,,,
"KABINGA ONEZIM  - M ,UPND",125 29.76%,19.53%,,,,,,
,,,7,1.67%,,420,640,66%
WARD: 000101007005 MWALALA,,,,,,,,
"MUMPAMPA MEJOUS  - M ,PF",199 83.97%,50.64%,,,,,,
"NGULUBE ASTONE  - M ,UPND",33 13.92%,8.40%,,,,,,
,,,5,2.11%,,237,393,60%
WARD: 000101007007 KAMIMBYA,,,,,,,,
"TEMBO ISAAC  - M ,PF",858 50.09%,31.03%,,,,,,
"KANUNGO PETER  - M ,UPND",822 47.99%,29.73%,,,,,,
,,,33,1.93%,,"1,713","2,765",62%
WARD: 000101007008 LWAMBULU,,,,,,,,
"HAMILONGWE KELONS  - M ,UPND","1,106 76.91%",50.57%,,,,,,
"NJOBVU AARON  - M ,PF",299 20.79%,13.67%,,,,,,
,,,33,2.29%,,"1,438","2,187",66%
WARD: 000101007009 KATUKUTU,,,,,,,,
"MASABUKA BRIAN  - M ,UPND","1,140 60.16%",33.70%,,,,,,
"KUNDA ELIAS  - M ,PF",687 36.25%,20.31%,,,,,,
,,,68,3.59%,,"1,895","3,383",56%
WARD: 000101007010 MUNDA,,,,,,,,
"MAPULANGA JOSEPH  - M ,PF","1,667 55.77%",28.16%,,,,,,
"NG`ANDU CLIFFORD  - M ,UPND","1,215 40.65%",20.52%,,,,,,
,,,107,3.58%,,"2,989","5,920",50%
,"01010010 ,MKUSHI NORTH CONSTITUENCY",,,,,,,
WARD: 000101008001 UPPER LUNSENFWA,,,,,,,,
"MUKOSO MAMBWE  - M ,PF",761 63.58%,26.30%,,,,,,
"MUSONDA NORRIS  - M ,UPND",406 33.92%,14.03%,,,,,,
,,,30,2.51%,,"1,197","2,894",41%
WARD: 000101008002 CHIBEFWE,,,,,,,,
"MUSONDA GERSHOM  - M ,PF","3,304 65.65%",30.47%,,,,,,
"MAPULANGA PATRICK  - M ,UPND","1,610 31.99%",14.85%,,,,,,
,,,119,2.36%,,"5,033","10,844",46%
WARD: 000101008003 CHALATA,,,,,,,,
"MANJIMELA MOSES  - M ,PF","1,139 63.56%",25.89%,,,,,,
"BEMBA FELIX  - M ,UPND",439 24.50%,9.98%,,,,,,
"MANYAMBA MIMU  - M ,MMD",169 9.43%,3.84%,,,,,,
,,,45,2.51%,,"1,792","4,400",41%
WARD: 000101008004 KABENGEESHI,,,,,,,,
"HAMIYANDA STANELY  - M ,PF",429 57.74%,23.87%,,,,,,
"MUSHANTI KELVIN  - M ,UPND",212 28.53%,11.80%,,,,,,
"NALISHUWA LISHOMWA  - M ,IND",75 10.09%,4.17%,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
,,,27,,3.63%,743,"1,797",41%
WARD: 000101008005 NSHINSO,,,,,,,,
"CHISENGA XAVIOUR  - M ,PF",282,49.21% 22.26%,,,,,,
"CHUUKA EDWARD  - M ,UPND",270,47.12% 21.31%,,,,,,
,,,21,,3.66%,573,"1,267",45%
WARD: 000101008006 KALWA,,,,,,,,
"MANDA GERALD  - M ,PF",394,49.68% 29.69%,,,,,,
"MWAPE MATHEWS  - M ,UPND",374,47.16% 28.18%,,,,,,
,,,25,,3.15%,793,"1,327",60%
WARD: 000101008007 NKULUMASHIBA,,,,,,,,
"KAIMA ORBIT  - M ,UPND","1,072",60.33% 32.12%,,,,,,
"CHISENGA NOVENCE  - M ,PF",631,35.51% 18.91%,,,,,,
,,,74,,4.16%,"1,777","3,337",53%
WARD: 000101008008 CHIKANDA,,,,,,,,
"KUNDA RESTONE  - M ,PF",999,58.80% 20.92%,,,,,,
"NTEENDA CHARLES  - M ,UPND",655,38.55% 13.72%,,,,,,
,,,45,,2.65%,"1,699","4,775",36%
WARD: 000101008009 MATUKU,,,,,,,,
"CHIPEPO KELVIN  - M ,PF",803,59.57% 20.82%,,,,,,
"MULELA COSTAIN  - M ,UPND",435,32.27% 11.28%,,,,,,
"SIWAKWI ABEL  - M ,UNIP",48,3.56% 1.24%,,,,,,
,,,62,,4.60%,"1,348","3,857",35%
WARD: 000101008010 TEMBWE,,,,,,,,
"HANAMPOTA BETSON  - M ,PF",434,75.61% 19.38%,,,,,,
"HACHINUNKA CLEMENT  - M ,UPND",125,21.78% 5.58%,,,,,,
,,,15,,2.61%,574,"2,240",26%
WARD: 000101008011 MUNSHIBEMBA,,,,,,,,
"CHILALA JOHN  - M ,PF",595,72.12% 21.95%,,,,,,
"LIBBOHOLE CALEB  - M ,UPND",216,26.18% 7.97%,,,,,,
,,,14,,1.70%,825,"2,711",30%
WARD: 000101008012 MUNSAKAMBA,,,,,,,,
"MWELWA SUSAN  - F ,PF",471,59.47% 25.68%,,,,,,
"SIKAMIKAMI GOLIATH  - M ,UPND",270,34.09% 14.72%,,,,,,
,,,51,,6.44%,792,"1,834",43%
WARD: 000101008013 NKUMBI,,,,,,,,
"MAYUYA LEWIS  - M ,PF","1,207",50.59% 20.97%,,,,,,
"CHIMANYA MONDIWA  - M ,UPND","1,113",46.65% 19.34%,,,,,,
,,,66,,2.77%,"2,386","5,755",41%
,,"01010011 ,MUMBWA CONSTITUENCY",,,,,,
WARD: 000101009001 NALUSANGA,,,,,,,,
"CHINYAMA JOSEPH  - M ,UPND","2,151",85.42% 43.56%,,,,,,
"MULOWA MULOWA  - M ,PF",260,10.33% 5.27%,,,,,,
,VOTES OBTAINED,% AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST,REGISTERED,VOTES,PAPERS %,CAST,VOTERS,TURNOUT
,,,VOTERS,,,,,
,,,,107,4.25%,"2,518","4,938",51%
WARD: 000101009002 KALWANYEMBE,,,,,,,,
"SANGWAPO LANDSON  - M ,UPND",600,56.23%,23.40%,,,,,
"KAINDU CAVERS  - M ,PF",433,40.58%,16.89%,,,,,
,,,,34,3.19%,"1,067","2,564",42%
WARD: 000101009004 KAMILAMBO,,,,,,,,
"SHIMBELA JONES M - M ,UPND",996,70.99%,46.35%,,,,,
"FULAMA AMOS  - M ,IND",283,20.17%,13.17%,,,,,
"MUDARIKI CLAY  - M ,PF",88,6.27%,4.09%,,,,,
,,,,36,2.57%,"1,403","2,149",65%
WARD: 000101009005 MUMBA,,,,,,,,
"CHASEMENA MOVEN  - M ,UPND","2,449",70.11%,39.41%,,,,,
"MUGALA BOYD  - M ,PF",523,14.97%,8.42%,,,,,
"HAMILIMO PAUL  - M ,IND",323,9.25%,5.20%,,,,,
"MUSHONGOMA GIFT  - M ,FDD",38,1.09%,0.61%,,,,,
,,,,160,4.58%,"3,493","6,214",56%
WARD: 000101009006 MUPONA,,,,,,,,
"TWAMBO TUKALI  - M ,UPND","3,995",68.58%,36.91%,,,,,
"CHULU ELIZABETH  - F ,PF","1,657",28.45%,15.31%,,,,,
,,,,173,2.97%,"5,825","10,824",54%
WARD: 000101009007 LUTALE,,,,,,,,
"SUSIKU OSCAR  - M ,UPND","1,279",81.31%,35.95%,,,,,
"SHAMABOBO LAWRENCE  - M ,PF",206,13.10%,5.79%,,,,,
,,,,88,5.59%,"1,573","3,558",44%
WARD: 000101009008 CHIBOLYO,,,,,,,,
"SIMBUNJI CHRISTOPHER  - M ,UPND","2,411",83.14%,51.30%,,,,,
"KAMBEU DINAH  - F ,PF",400,13.79%,8.51%,,,,,
,,,,89,3.07%,"2,900","4,700",62%
WARD: 000101009009 NALUVWI,,,,,,,,
"SHAMAINDI ZAMBWE  - M ,UPND","1,345",82.67%,56.16%,,,,,
"MOONGA DANFORD  - M ,FDD",170,10.45%,7.10%,,,,,
"KATEMA SYDNEY  - M ,PF",78,4.79%,3.26%,,,,,
,,,,34,2.09%,"1,627","2,395",68%
WARD: 000101009010 NAMBALA,,,,,,,,
"BIEMBA STELLA  - F ,UPND","1,176",78.04%,38.93%,,,,,
"TEMBO RAPHAEL  - M ,PF",248,16.46%,8.21%,,,,,
"MOONGA GODFREY  - M ,FDD",47,3.12%,1.56%,,,,,
,,,,36,2.39%,"1,507","3,021",50%
WARD: 000101009011 SHIMBIZHI,,,,,,,,
"SIYAZANA MANAS  - M ,UPND",800,56.74%,32.76%,,,,,
"MWEWA RICKMOND  - M ,FDD",402,28.51%,16.46%,,,,,
"CHITAYA COLLIAM  - M ,PF",153,10.85%,6.27%,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
,,,55,,3.90%,"1,410","2,442",58%
,,"01010012 ,NANGOMA CONSTITUENCY",,,,,,
WARD: 000101009012 NAKASAKA,,,,,,,,
"MUNYUMBWE HAMBAZE  - M ,UPND","2,243",75.29% 40.08%,,,,,,
"KALUNGA CHRIS  - M ,PF",557,18.70% 9.95%,,,,,,
"NSAI KENNEDY  - M ,FDD",54,1.81% 0.96%,,,,,,
,,,125,,4.20%,"2,979","5,597",53%
WARD: 000101009013 NANGOMA,,,,,,,,
"HAMOONGA CLEVER  - M ,UPND","1,636",40.32% 22.72%,,,,,,
"SHINKUMBA KELVIN  - M ,IND","1,576",38.84% 21.88%,,,,,,
"MULULU LISTONE  - M ,PF",436,10.74% 6.05%,,,,,,
"LISEKA GIVEN  - M ,FDD",123,3.03% 1.71%,,,,,,
"CHILUBA VINCENT M - M ,RAINBOW",72,1.77% 1.00%,,,,,,
,,,215,,5.30%,"4,058","7,202",56%
WARD: 000101009014 CHISALU,,,,,,,,
"HAMOOYA CLIVE  - M ,UPND","2,065",70.53% 43.53%,,,,,,
"MAANGO SYLVESTER  - M ,PF",648,22.13% 13.66%,,,,,,
"KALINDA BIGGIE  - M ,FDD",96,3.28% 2.02%,,,,,,
,,,119,,4.06%,"2,928","4,744",62%
WARD: 000101009015 KEEZWA,,,,,,,,
"MULENGA CLAVEL  - M ,UPND",994,69.22% 48.14%,,,,,,
"CHOONGO ALFRED Z - M ,PF",323,22.49% 15.64%,,,,,,
"SHAMAKAMBA BRISTOL  - M ,FDD",87,6.06% 4.21%,,,,,,
,,,32,,2.23%,"1,436","2,065",70%
WARD: 000101009016 MYOOYE,,,,,,,,
"SHIMPONDO MELVIN  - M ,UPND","1,257",54.16% 34.68%,,,,,,
"CHIBOLELA NICKSON  - M ,PF",859,37.01% 23.70%,,,,,,
"CHIPOTE ALLAN  - M ,FDD",111,4.78% 3.06%,,,,,,
,,,94,,4.05%,"2,321","3,625",64%
WARD: 000101009017 SHICHANZU,,,,,,,,
"POVWA BOURNE  - M ,UPND","2,225",84.31% 54.64%,,,,,,
"SIKOTA CHARLES  - M ,PF",253,9.59% 6.21%,,,,,,
"MWIINGA PATRICK  - M ,FDD",70,2.65% 1.72%,,,,,,
,,,91,,3.45%,"2,639","4,072",65%
WARD: 000101009018 NALUBANDA,,,,,,,,
"HICHINTU SURVOY  - M ,UPND","2,617",86.94% 60.30%,,,,,,
"SHAMBOSHA MODERN  - M ,FDD",239,7.94% 5.51%,,,,,,
"SHAMBOSHA KINGFORD  - M ,PF",58,1.93% 1.34%,,,,,,
,,,96,,3.19%,"3,010","4,340",69%
WARD: 000101009019 CHOOMA,,,,,,,,
"MASUMO CHARLIE  - M ,UPND","1,390",78.05% 49.36%,,,,,,
"MWIINGA SUSAN  - F ,PF",281,15.78% 9.98%,,,,,,
"NSONDO STAIN  - M ,FDD",57,3.20% 2.02%,,,,,,
,,,53,,2.98%,"1,781","2,816",63%
,,"01010013 ,LUFUBU CONSTITUENCY",,,,,,
WARD: 000101010002 LUAMALA,,,,,,,,
"KAPUTULA ORIS  - M ,PF",192,71.11% 28.87%,,,,,,
"SILUNGWE STEPHEN  - M ,UPND",71,26.30% 10.68%,,,,,,
,,,7,,2.59%,270,665,41%
WARD: 000101010004 IWONDE,,,,,,,,
"MUFWAYA BESTON  - M ,PF",300,54.84% 16.59%,,,,,,
"LUMINGU ALICK  - M ,UPND",177,32.36% 9.79%,,,,,,
"SHOLOMA OBED  - M ,IND",27,4.94% 1.49%,,,,,,
,,,43,,7.86%,547,"1,808",30%
WARD: 000101010006 MUKUBWE,,,,,,,,
"HALWANDO CHRISPIN  - M ,UPND",379,62.85% 23.51%,,,,,,
"LUMINGU BENSON  - M ,PF",205,34.00% 12.72%,,,,,,
,,,19,,3.15%,603,"1,612",37%
,,"01010014 ,MUCHINGA CONSTITUENCY",,,,,,
WARD: 000101011001 SERENJE,,,,,,,,
"MUSENGE STEPHEN  - M ,MMD",339,39.65% 16.89%,,,,,,
"PHIRI NATHAN  - M ,PF",305,35.67% 15.20%,,,,,,
"MWELELWA CHARLES  - M ,UPND",147,17.19% 7.32%,,,,,,
,,,64,,7.49%,855,"2,007",43%
WARD: 000101011002 LUSHIBASHI,,,,,,,,
"CHIME GILBERT  - M ,MMD",456,76.13% 31.13%,,,,,,
"CHUNGA EMMANUEL  - M ,UPND",114,19.03% 7.78%,,,,,,
,,,29,,4.84%,599,"1,465",41%
WARD: 000101011003 MAILO,,,,,,,,
"MUNSHYA PATRICK  - M ,PF",593,64.46% 31.56%,,,,,,
"SEKELANI BRIAN  - M ,MMD",158,17.17% 8.41%,,,,,,
"MWENI ANOLD  - M ,UPND",123,13.37% 6.55%,,,,,,
,,,46,,5.00%,920,"1,879",49%
WARD: 000101011004 KANONA,,,,,,,,
"NALUNGWE ABESS  - F ,MMD",786,64.48% 30.87%,,,,,,
"KUNDA DICKSON  - M ,UPND",392,32.16% 15.40%,,,,,,
,,,41,,3.36%,"1,219","2,546",48%
WARD: 000101011005 MWESHE,,,,,,,,
"MUKUPA ESTHER  - F ,PF",216,38.37% 31.21%,,,,,,
"BWALE MICHEAL  - M ,MMD",191,33.93% 27.60%,,,,,,
"KUNDA PATRICK  - M ,UPND",147,26.11% 21.24%,,,,,,
,,,9,,1.60%,563,692,81%
WARD: 000101011006 KABANSA,,,,,,,,
"CHAMA JOHN  - M ,PF",177,86.34% 56.91%,,,,,,
"NG'ANDWE ALFRED  - M ,UPND",24,11.71% 7.72%,,,,,,
,,,4,,1.95%,205,311,66%
WARD: 000101011007 CHISOMO,,,,,,,,
"MUKOSHA PETER  - M ,PF",349,54.87% 22.43%,,,,,,
"KUNDA TEDDY  - M ,UPND",259,40.72% 16.65%,,,,,,
,,,28,,4.40%,636,"1,556",41%
WARD: 000101011008 LUKUSASHI,,,,,,,,
"MULENGA FRANCIS  - M ,PF",348,54.12% 27.23%,,,,,,
"KUNDA ESHECK  - M ,UPND",163,25.35% 12.75%,,,,,,
"KAWAMA GOVAN  - M ,MMD",120,18.66% 9.39%,,,,,,
,,,12,,1.87%,643,"1,278",50%
WARD: 000101011009 SANCHA,,,,,,,,
"MUKOSHA EMMANUEL  - M ,PF",502,77.71% 31.55%,,,,,,
"KUNDA ELVIS  - M ,UPND",134,20.74% 8.42%,,,,,,
,,,10,,1.55%,646,"1,591",41%
WARD: 000101011010 CHIBALE,,,,,,,,
"CHIPAYENI MUNSELE  - M ,MMD",431,44.21% 15.93%,,,,,,
"KALALE CASSIOUS  - M ,PF",330,33.85% 12.20%,,,,,,
"KALALE FRIDAY  - M ,UPND",175,17.95% 6.47%,,,,,,
,,,39,,4.00%,975,"2,706",36%
WARD: 000101011011 MASANINGA,,,,,,,,
"SAKALA CHARLES  - M ,PF",821,49.22% 18.22%,,,,,,
"CHIBUYE STEPHEN  - M ,MMD",529,31.71% 11.74%,,,,,,
"CHISENGA MUDALA  - M ,UPND",229,13.73% 5.08%,,,,,,
,,,89,,5.34%,"1,668","4,505",37%
,,"01010015 ,SERENJE CONSTITUENCY",,,,,,
WARD: 000101011012 MUCHINDA,,,,,,,,
"CHITA ANTHONY  - M ,PF","1,195",80.85% 32.62%,,,,,,
"CHOLA ELIZABETH  - F ,UPND",229,15.49% 6.25%,,,,,,
,,,54,,3.65%,"1,478","3,663",40%
WARD: 000101011013 CHISANGWA,,,,,,,,
"CHIMPABU FRANCIS  - M ,PF",985,67.01% 27.56%,,,,,,
"MUNSELE NICHOLAS  - M ,UPND",407,27.69% 11.39%,,,,,,
,,,78,,5.31%,"1,470","3,574",41%
WARD: 000101011014 IBOLELO,,,,,,,,
"MULUMBA STAIVOUS  - M ,PF","2,292",48.51% 22.42%,,,,,,
"MAMBWE FRANCIS  - M ,MMD","1,379",29.19% 13.49%,,,,,,
"MUZOKA KAUMBU  - M ,UPND",835,17.67% 8.17%,,,,,,
,,,219,,4.63%,"4,725","10,223",46%
WARD: 000101011015 KABAMBA,,,,,,,,
"MUBANGA SAMUEL  - M ,PF",669,53.52% 24.26%,,,,,,
"YUMBA GLADYS  - F ,MMD",359,28.72% 13.02%,,,,,,
,VOTES OBTAINED % AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,VOTES CAST,REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
"MWAPE LAPSON  - M ,UPND",166 13.28%,6.02%,,,,,,
,,,56,4.48%,,"1,250","2,758",45%
WARD: 000101011016 MILENJE,,,,,,,,
"CHULU SILDY  - M ,PF",148 44.05%,17.51%,,,,,,
"NAKAMBA IREEN  - F ,MMD",96 28.57%,11.36%,,,,,,
"KUNDA LASTON  - M ,UPND",71 21.13%,8.40%,,,,,,
"KAMUTUMWA ENOCK  - M ,FDD",6 1.79%,0.71%,,,,,,
,,,15,4.46%,,336,845,40%
WARD: 000101011017 NG'ANSWA,,,,,,,,
"LUKWESA HARRISON  - M ,MMD",573 52.81%,24.56%,,,,,,
"MULENGA VITALIS  - M ,PF",376 34.65%,16.12%,,,,,,
"CHALWE MORGAN  - M ,UPND",101 9.31%,4.33%,,,,,,
"ZULU MERCY  - F ,FDD",4 0.37%,0.17%,,,,,,
,,,31,2.86%,,"1,085","2,333",47%
WARD: 000101011018 LUPIYA,,,,,,,,
"MWAULA MWELWA  - M ,PF",803 65.50%,25.74%,,,,,,
"KALALE ROBERT  - M ,UPND",384 31.32%,12.31%,,,,,,
,,,39,3.18%,,"1,226","3,120",39%
WARD: 000101011019 MUSANGASHI,,,,,,,,
"NKHATA GEORGE  - M ,PF",555 76.87%,32.25%,,,,,,
"KALUNGA PRIZE  - M ,UPND",138 19.11%,8.02%,,,,,,
,,,29,4.02%,,722,"1,721",42%
,"01020016 ,CHILILABOMBWE CONSTITUENCY",,,,,,,
WARD: 000102001001 CHILIMINA,,,,,,,,
"KAPUPA GABRIEL A - M ,UPND",518 61.16%,31.13%,,,,,,
"MUSHOTA BENSON  - M ,PF",303 35.77%,18.21%,,,,,,
,,,26,3.07%,,847,"1,664",51%
WARD: 000102001003 SILWIZYA,,,,,,,,
"MWILA DONALD  - M ,PF",242 55.00%,26.19%,,,,,,
"IKACHANA OLIVER  - M ,UPND",186 42.27%,20.13%,,,,,,
,,,12,2.73%,,440,924,48%
WARD: 000102001004 JOSEPH MWILWA,,,,,,,,
"SIMWANDA SPOLIAN  - M ,PF",785 54.21%,32.21%,,,,,,
"HAPWAYA MWEENE  - M ,UPND",491 33.91%,20.15%,,,,,,
"BWALYA ABEL  - M ,IND",114 7.87%,4.68%,,,,,,
"NTELANYA JANUARY  - M ,IND",23 1.59%,0.94%,,,,,,
"LOMBE GEOFFREY  - M ,RAINBOW",9 0.62%,0.37%,,,,,,
,,,26,1.80%,,"1,448","2,437",59%
WARD: 000102001005 ANOYA ZULU,,,,,,,,
"MAKASA FIDELIS  - M ,PF",690 51.53%,24.55%,,,,,,
"MWAMBULA EVANS  - M ,UPND",617 46.08%,21.95%,,,,,,
,,,32,2.39%,,"1,339","2,811",48%
,VOTES OBTAINED,% AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST,REGISTERED,VOTES,PAPERS %,CAST,VOTERS,TURNOUT
,,,VOTERS,,,,,
WARD: 000102001006 KAWAMA,,,,,,,,
"WITOLA GERTRUDE  - F ,UPND",679,73.25%,41.86%,,,,,
"CHONGO ISAAC  - M ,PF",222,23.95%,13.69%,,,,,
,,,,26,2.80%,927,"1,622",57%
WARD: 000102001007 MITETA,,,,,,,,
"NAMINDO MICHAEL P - M ,UPND",228,42.46%,22.71%,,,,,
"CHITALU DAVID  - M ,PF",149,27.75%,14.84%,,,,,
"MALANGA GIFT  - M ,IND",144,26.82%,14.34%,,,,,
,,,,16,2.98%,537,"1,004",53%
WARD: 000102001008 CHITAMBI,,,,,,,,
"BESA FLORENCE  - F ,PF",366,46.51%,23.94%,,,,,
"NKETANI ROSEMARY  - F ,UPND",345,43.84%,22.56%,,,,,
"KATONTOKA MUBANGA  - M ,RAINBOW",39,4.96%,2.55%,,,,,
,,,,37,4.70%,787,"1,529",51%
WARD: 000102001009 KAKOSO,,,,,,,,
"BWALYA FABIANO  - M ,PF","1,449",55.90%,33.68%,,,,,
"MUBANGA JUSTINE  - M ,UPND",993,38.31%,23.08%,,,,,
"MALISAWA YOTAM  - M ,RAINBOW",106,4.09%,2.46%,,,,,
,,,,44,1.70%,"2,592","4,302",60%
WARD: 000102001010 KAFUE,,,,,,,,
"DAKA JANE  - F ,PF",796,58.02%,31.75%,,,,,
"MWEWA HELEN  - F ,UPND",565,41.18%,22.54%,,,,,
,,,,11,0.80%,"1,372","2,507",55%
WARD: 000102001011 MUMBA,,,,,,,,
"MUSUKWA GIFT  - M ,PF",539,65.49%,38.04%,,,,,
"KATUNDU SEPISO  - F ,UPND",278,33.78%,19.62%,,,,,
,,,,6,0.73%,823,"1,417",58%
WARD: 000102001012 NAKATINDI,,,,,,,,
"MWESHI MUSONDA  - M ,PF","1,124",53.78%,28.75%,,,,,
"MWIINGA GEORGE K - M ,UPND",614,29.38%,15.71%,,,,,
"MAYIBBE LAYSON  - M ,RAINBOW",314,15.02%,8.03%,,,,,
,,,,38,1.82%,"2,090","3,909",53%
WARD: 000102001013 MVULA,,,,,,,,
"NGOMA LESLEY  - M ,PF",629,62.03%,36.48%,,,,,
"MUTUPA ROBERT  - M ,UPND",355,35.01%,20.59%,,,,,
"MUNTUBULYO SIMAINGA  - F ,RAINBOW",23,2.27%,1.33%,,,,,
,,,,7,0.69%,"1,014","1,724",59%
WARD: 000102001014 CHITIMUKULU,,,,,,,,
"MWAPE DONALD  - M ,PF",747,62.51%,33.39%,,,,,
"KUNDA RASFORD  - M ,UPND",435,36.40%,19.45%,,,,,
,,,,13,1.09%,"1,195","2,237",53%
WARD: 000102001015 ILUTE YETA,,,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
"MWILA LEWIS  - M ,PF",403,38.31% 23.66%,,,,,,
"CHANDA LOUIS  - M ,IND",381,36.22% 22.37%,,,,,,
"MWANDO MICHELO  - F ,UPND",262,24.90% 15.38%,,,,,,
,,,6,,0.57%,"1,052","1,703",62%
WARD: 000102001016 NGEBE,,,,,,,,
"KATONGO GEOFFREY  - M ,PF",787,62.51% 33.69%,,,,,,
"SAMUTONDO DERRICK  - M ,UPND",463,36.78% 19.82%,,,,,,
,,,9,,0.71%,"1,259","2,336",54%
WARD: 000102001017 KAMIMA,,,,,,,,
"SOKO BOYDE  - M ,PF",579,59.45% 32.77%,,,,,,
"MWAMBA CHRISPINE  - M ,UPND",383,39.32% 21.68%,,,,,,
,,,12,,1.23%,974,"1,767",55%
WARD: 000102001018 MUKUKA,,,,,,,,
"BWALYA VICTOR  - M ,PF","1,540",65.34% 31.01%,,,,,,
"KISAFWA WINSTONE  - M ,UPND",764,32.41% 15.38%,,,,,,
,,,53,,2.25%,"2,357","4,966",47%
